Request id,Pickup point,Driver id,Status,Trip duration (minutes),Demand-Supply Gap,Day of week,Hour of day,Time slot
619,Airport,1.0,Trip Completed,69.0,0,Monday,11,Morning
867,Airport,1.0,Trip Completed,50.0,0,Monday,17,Evening
1807,City,1.0,Trip Completed,41.0,0,Tuesday,9,Morning
2532,Airport,1.0,Trip Completed,55.0,0,Tuesday,21,Night
267,City,2.0,Trip Completed,39.0,0,Monday,6,Early Morning
1467,Airport,2.0,Trip Completed,54.0,0,Tuesday,5,Early Morning
1983,City,2.0,Trip Completed,27.0,0,Tuesday,12,Afternoon
535,Airport,3.0,Trip Completed,31.0,0,Monday,10,Morning
960,Airport,3.0,Trip Completed,38.0,0,Monday,18,Evening
1934,Airport,3.0,Trip Completed,66.0,0,Tuesday,11,Morning
2083,Airport,3.0,Trip Completed,54.0,0,Tuesday,15,Afternoon
2211,Airport,3.0,Trip Completed,28.0,0,Tuesday,18,Evening
669,City,4.0,Trip Completed,41.0,0,Monday,13,Afternoon
1567,Airport,4.0,Trip Completed,49.0,0,Tuesday,6,Early Morning
1826,City,4.0,Trip Completed,60.0,0,Tuesday,9,Morning
2102,City,4.0,Trip Completed,52.0,0,Tuesday,16,Evening
312,City,5.0,Trip Completed,64.0,0,Monday,7,Early Morning
577,Airport,5.0,Trip Completed,58.0,0,Monday,11,Morning
1179,City,5.0,Trip Completed,47.0,0,Monday,20,Night
1756,Airport,5.0,Trip Completed,43.0,0,Tuesday,8,Morning
2052,City,5.0,Trip Completed,62.0,0,Tuesday,14,Afternoon
2559,City,5.0,Trip Completed,57.0,0,Tuesday,21,Night
1517,Airport,6.0,Trip Completed,43.0,0,Tuesday,5,Early Morning
1999,Airport,6.0,Trip Completed,49.0,0,Tuesday,13,Afternoon
1039,City,7.0,Trip Completed,70.0,0,Monday,19,Evening
1273,Airport,7.0,Trip Completed,65.0,0,Monday,22,Night
2480,City,7.0,Trip Completed,49.0,0,Tuesday,20,Night
380,Airport,8.0,Trip Completed,60.0,0,Monday,8,Morning
